"cycle","meanMaxT","meanMinT","hotdays","meanPrec","noPrec","mMaxTY","mMinTY","mPrecY","mhotdaysY","mNoPrec","eMaxTY","eMinTY","ePrecY","eNoPrec","ehotdaysY","exthighTemp","extlowTemp","extlongHeat","extDry","extDryDays","extHot","extDryT"
12,27.3553424657534,14.7002739726027,56,3.0413698630137,274,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"Yes","No","No","No","No","Yes","No"
13,26.4081967213115,13.448087431694,45,3.1224043715847,268,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
14,25.7980821917808,13.4755494505495,38,3.1027397260274,265,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
15,26.2690410958904,14.4413698630137,47,4.42684931506849,247,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
16,26.5947945205479,14.1383561643836,30,3.79808219178082,257,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
17,26.2448087431694,14.6374316939891,6,3.71010928961749,271,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
18,25.4997222222222,13.7132596685083,35,4.17095890410959,240,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
19,24.8934246575342,13.3539726027397,23,3.56630136986301,250,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
20,26.3580821917808,14.3578082191781,28,2.77753424657534,248,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
21,26.0142076502732,13.7142076502732,37,3.5016393442623,257,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
22,27.4016483516484,14.1447802197802,70,2.54285714285714,273,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"Yes","No","Yes","Yes","No","Yes","Yes"
23,27.4271232876712,15.2249315068493,76,3.52684931506849,267,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"Yes","No","Yes","No","No","Yes","No"
24,26.983008356546,15.0094707520891,33,4.80712328767123,259,26.2525451320412,13.8906237573927,3.47062181521684,39.1666666666667,261.791666666667,27.0393348336596,13.2937776240537,2.65760948910022,276.816223859495,62.2217362151208,"No","No","No","No","No","No","No"
